,link,name
0,[],[]
1,"['/date/1999-12-31/?ref_=bo_di_table_1', '/date/1999-12-31/?ref_=bo_di_table_1', '/date/1999-12-31/?ref_=bo_di_table_1']",['Stuart Little']
2,"['/date/1999-12-30/?ref_=bo_di_table_2', '/date/1999-12-30/?ref_=bo_di_table_2', '/date/1999-12-30/?ref_=bo_di_table_2']",['Stuart Little']
3,"['/date/1999-12-29/?ref_=bo_di_table_3', '/date/1999-12-29/?ref_=bo_di_table_3', '/date/1999-12-29/?ref_=bo_di_table_3']",['Stuart Little']
4,"['/date/1999-12-28/?ref_=bo_di_table_4', '/date/1999-12-28/?ref_=bo_di_table_4', '/date/1999-12-28/?ref_=bo_di_table_4']",['Stuart Little']
5,"['/date/1999-12-27/?ref_=bo_di_table_5', '/date/1999-12-27/?ref_=bo_di_table_5', '/date/1999-12-27/?ref_=bo_di_table_5']",['Stuart Little']
6,"['/date/1999-12-26/?ref_=bo_di_table_6', '/date/1999-12-26/?ref_=bo_di_table_6', '/date/1999-12-26/?ref_=bo_di_table_6']",['The Talented Mr. Ripley']
7,"['/date/1999-12-25/?ref_=bo_di_table_7', '/date/1999-12-25/?ref_=bo_di_table_7', '/date/1999-12-25/?ref_=bo_di_table_7']",['The Talented Mr. Ripley']
8,"['/date/1999-12-24/?ref_=bo_di_table_8', '/date/1999-12-24/?ref_=bo_di_table_8', '/date/1999-12-24/?ref_=bo_di_table_8']",['Stuart Little']
9,"['/date/1999-12-23/?ref_=bo_di_table_9', '/date/1999-12-23/?ref_=bo_di_table_9', '/date/1999-12-23/?ref_=bo_di_table_9']",['Stuart Little']
10,"['/date/1999-12-22/?ref_=bo_di_table_10', '/date/1999-12-22/?ref_=bo_di_table_10', '/date/1999-12-22/?ref_=bo_di_table_10']",['Any Given Sunday']
11,"['/date/1999-12-21/?ref_=bo_di_table_11', '/date/1999-12-21/?ref_=bo_di_table_11', '/date/1999-12-21/?ref_=bo_di_table_11']",['Stuart Little']
12,"['/date/1999-12-20/?ref_=bo_di_table_12', '/date/1999-12-20/?ref_=bo_di_table_12', '/date/1999-12-20/?ref_=bo_di_table_12']",['Stuart Little']
13,"['/date/1999-12-19/?ref_=bo_di_table_13', '/date/1999-12-19/?ref_=bo_di_table_13', '/date/1999-12-19/?ref_=bo_di_table_13']",['Stuart Little']
14,"['/date/1999-12-18/?ref_=bo_di_table_14', '/date/1999-12-18/?ref_=bo_di_table_14', '/date/1999-12-18/?ref_=bo_di_table_14']",['Stuart Little']
15,"['/date/1999-12-17/?ref_=bo_di_table_15', '/date/1999-12-17/?ref_=bo_di_table_15', '/date/1999-12-17/?ref_=bo_di_table_15']",['Stuart Little']
16,"['/date/1999-12-16/?ref_=bo_di_table_16', '/date/1999-12-16/?ref_=bo_di_table_16', '/date/1999-12-16/?ref_=bo_di_table_16']",['The Green Mile']
17,"['/date/1999-12-15/?ref_=bo_di_table_17', '/date/1999-12-15/?ref_=bo_di_table_17', '/date/1999-12-15/?ref_=bo_di_table_17']",['The Green Mile']
18,"['/date/1999-12-14/?ref_=bo_di_table_18', '/date/1999-12-14/?ref_=bo_di_table_18', '/date/1999-12-14/?ref_=bo_di_table_18']",['The Green Mile']
19,"['/date/1999-12-13/?ref_=bo_di_table_19', '/date/1999-12-13/?ref_=bo_di_table_19', '/date/1999-12-13/?ref_=bo_di_table_19']",['The Green Mile']
20,"['/date/1999-12-12/?ref_=bo_di_table_20', '/date/1999-12-12/?ref_=bo_di_table_20', '/date/1999-12-12/?ref_=bo_di_table_20']",['Toy Story 2']
21,"['/date/1999-12-11/?ref_=bo_di_table_21', '/date/1999-12-11/?ref_=bo_di_table_21', '/date/1999-12-11/?ref_=bo_di_table_21']",['Toy Story 2']
22,"['/date/1999-12-10/?ref_=bo_di_table_22', '/date/1999-12-10/?ref_=bo_di_table_22', '/date/1999-12-10/?ref_=bo_di_table_22']",['The Green Mile']
23,"['/date/1999-12-09/?ref_=bo_di_table_23', '/date/1999-12-09/?ref_=bo_di_table_23', '/date/1999-12-09/?ref_=bo_di_table_23']",['Toy Story 2']
24,"['/date/1999-12-08/?ref_=bo_di_table_24', '/date/1999-12-08/?ref_=bo_di_table_24', '/date/1999-12-08/?ref_=bo_di_table_24']",['Toy Story 2']
25,"['/date/1999-12-07/?ref_=bo_di_table_25', '/date/1999-12-07/?ref_=bo_di_table_25', '/date/1999-12-07/?ref_=bo_di_table_25']",['Toy Story 2']
26,"['/date/1999-12-06/?ref_=bo_di_table_26', '/date/1999-12-06/?ref_=bo_di_table_26', '/date/1999-12-06/?ref_=bo_di_table_26']",['Toy Story 2']
27,"['/date/1999-12-05/?ref_=bo_di_table_27', '/date/1999-12-05/?ref_=bo_di_table_27', '/date/1999-12-05/?ref_=bo_di_table_27']",['Toy Story 2']
28,"['/date/1999-12-04/?ref_=bo_di_table_28', '/date/1999-12-04/?ref_=bo_di_table_28', '/date/1999-12-04/?ref_=bo_di_table_28']",['Toy Story 2']
29,"['/date/1999-12-03/?ref_=bo_di_table_29', '/date/1999-12-03/?ref_=bo_di_table_29', '/date/1999-12-03/?ref_=bo_di_table_29']",['Toy Story 2']
30,"['/date/1999-12-02/?ref_=bo_di_table_30', '/date/1999-12-02/?ref_=bo_di_table_30', '/date/1999-12-02/?ref_=bo_di_table_30']",['Toy Story 2']
31,"['/date/1999-12-01/?ref_=bo_di_table_31', '/date/1999-12-01/?ref_=bo_di_table_31', '/date/1999-12-01/?ref_=bo_di_table_31']",['Toy Story 2']
32,"['/date/1999-11-30/?ref_=bo_di_table_32', '/date/1999-11-30/?ref_=bo_di_table_32', '/date/1999-11-30/?ref_=bo_di_table_32']",['Toy Story 2']
33,"['/date/1999-11-29/?ref_=bo_di_table_33', '/date/1999-11-29/?ref_=bo_di_table_33', '/date/1999-11-29/?ref_=bo_di_table_33']",['Toy Story 2']
34,"['/date/1999-11-28/?ref_=bo_di_table_34', '/date/1999-11-28/?ref_=bo_di_table_34', '/date/1999-11-28/?ref_=bo_di_table_34']",['Toy Story 2']
35,"['/date/1999-11-27/?ref_=bo_di_table_35', '/date/1999-11-27/?ref_=bo_di_table_35', '/date/1999-11-27/?ref_=bo_di_table_35']",['Toy Story 2']
36,"['/date/1999-11-26/?ref_=bo_di_table_36', '/date/1999-11-26/?ref_=bo_di_table_36', '/date/1999-11-26/?ref_=bo_di_table_36']",['Toy Story 2']
37,"['/date/1999-11-25/?ref_=bo_di_table_37', '/date/1999-11-25/?ref_=bo_di_table_37', '/date/1999-11-25/?ref_=bo_di_table_37']",['Toy Story 2']
38,"['/date/1999-11-24/?ref_=bo_di_table_38', '/date/1999-11-24/?ref_=bo_di_table_38', '/date/1999-11-24/?ref_=bo_di_table_38']",['Toy Story 2']
39,"['/date/1999-11-23/?ref_=bo_di_table_39', '/date/1999-11-23/?ref_=bo_di_table_39', '/date/1999-11-23/?ref_=bo_di_table_39']",['The World Is Not Enough']
40,"['/date/1999-11-22/?ref_=bo_di_table_40', '/date/1999-11-22/?ref_=bo_di_table_40', '/date/1999-11-22/?ref_=bo_di_table_40']",['The World Is Not Enough']
41,"['/date/1999-11-21/?ref_=bo_di_table_41', '/date/1999-11-21/?ref_=bo_di_table_41', '/date/1999-11-21/?ref_=bo_di_table_41']",['The World Is Not Enough']
42,"['/date/1999-11-20/?ref_=bo_di_table_42', '/date/1999-11-20/?ref_=bo_di_table_42', '/date/1999-11-20/?ref_=bo_di_table_42']",['The World Is Not Enough']
43,"['/date/1999-11-19/?ref_=bo_di_table_43', '/date/1999-11-19/?ref_=bo_di_table_43', '/date/1999-11-19/?ref_=bo_di_table_43']",['The World Is Not Enough']
44,"['/date/1999-11-18/?ref_=bo_di_table_44', '/date/1999-11-18/?ref_=bo_di_table_44', '/date/1999-11-18/?ref_=bo_di_table_44']",['Pokémon: The First Movie - Mewtwo Strikes Back']
45,"['/date/1999-11-17/?ref_=bo_di_table_45', '/date/1999-11-17/?ref_=bo_di_table_45', '/date/1999-11-17/?ref_=bo_di_table_45']",['Pokémon: The First Movie - Mewtwo Strikes Back']
46,"['/date/1999-11-16/?ref_=bo_di_table_46', '/date/1999-11-16/?ref_=bo_di_table_46', '/date/1999-11-16/?ref_=bo_di_table_46']",['Pokémon: The First Movie - Mewtwo Strikes Back']
47,"['/date/1999-11-15/?ref_=bo_di_table_47', '/date/1999-11-15/?ref_=bo_di_table_47', '/date/1999-11-15/?ref_=bo_di_table_47']",['Pokémon: The First Movie - Mewtwo Strikes Back']
48,"['/date/1999-11-14/?ref_=bo_di_table_48', '/date/1999-11-14/?ref_=bo_di_table_48', '/date/1999-11-14/?ref_=bo_di_table_48']",['Pokémon: The First Movie - Mewtwo Strikes Back']
49,"['/date/1999-11-13/?ref_=bo_di_table_49', '/date/1999-11-13/?ref_=bo_di_table_49', '/date/1999-11-13/?ref_=bo_di_table_49']",['Pokémon: The First Movie - Mewtwo Strikes Back']
50,"['/date/1999-11-12/?ref_=bo_di_table_50', '/date/1999-11-12/?ref_=bo_di_table_50', '/date/1999-11-12/?ref_=bo_di_table_50']",['Pokémon: The First Movie - Mewtwo Strikes Back']
51,"['/date/1999-11-11/?ref_=bo_di_table_51', '/date/1999-11-11/?ref_=bo_di_table_51', '/date/1999-11-11/?ref_=bo_di_table_51']",['Pokémon: The First Movie - Mewtwo Strikes Back']
52,"['/date/1999-11-10/?ref_=bo_di_table_52', '/date/1999-11-10/?ref_=bo_di_table_52', '/date/1999-11-10/?ref_=bo_di_table_52']",['Pokémon: The First Movie - Mewtwo Strikes Back']
53,"['/date/1999-11-09/?ref_=bo_di_table_53', '/date/1999-11-09/?ref_=bo_di_table_53', '/date/1999-11-09/?ref_=bo_di_table_53']",['The Bone Collector']
54,"['/date/1999-11-08/?ref_=bo_di_table_54', '/date/1999-11-08/?ref_=bo_di_table_54', '/date/1999-11-08/?ref_=bo_di_table_54']",['The Bone Collector']
55,"['/date/1999-11-07/?ref_=bo_di_table_55', '/date/1999-11-07/?ref_=bo_di_table_55', '/date/1999-11-07/?ref_=bo_di_table_55']",['The Bone Collector']
56,"['/date/1999-11-06/?ref_=bo_di_table_56', '/date/1999-11-06/?ref_=bo_di_table_56', '/date/1999-11-06/?ref_=bo_di_table_56']",['The Bone Collector']
57,"['/date/1999-11-05/?ref_=bo_di_table_57', '/date/1999-11-05/?ref_=bo_di_table_57', '/date/1999-11-05/?ref_=bo_di_table_57']",['The Bone Collector']
58,"['/date/1999-11-04/?ref_=bo_di_table_58', '/date/1999-11-04/?ref_=bo_di_table_58', '/date/1999-11-04/?ref_=bo_di_table_58']",['House on Haunted Hill']
59,"['/date/1999-11-03/?ref_=bo_di_table_59', '/date/1999-11-03/?ref_=bo_di_table_59', '/date/1999-11-03/?ref_=bo_di_table_59']",['House on Haunted Hill']
60,"['/date/1999-11-02/?ref_=bo_di_table_60', '/date/1999-11-02/?ref_=bo_di_table_60', '/date/1999-11-02/?ref_=bo_di_table_60']",['House on Haunted Hill']
61,"['/date/1999-11-01/?ref_=bo_di_table_61', '/date/1999-11-01/?ref_=bo_di_table_61', '/date/1999-11-01/?ref_=bo_di_table_61']",['House on Haunted Hill']
62,"['/date/1999-10-31/?ref_=bo_di_table_62', '/date/1999-10-31/?ref_=bo_di_table_62', '/date/1999-10-31/?ref_=bo_di_table_62']",['House on Haunted Hill']
63,"['/date/1999-10-30/?ref_=bo_di_table_63', '/date/1999-10-30/?ref_=bo_di_table_63', '/date/1999-10-30/?ref_=bo_di_table_63']",['House on Haunted Hill']
64,"['/date/1999-10-29/?ref_=bo_di_table_64', '/date/1999-10-29/?ref_=bo_di_table_64', '/date/1999-10-29/?ref_=bo_di_table_64']",['House on Haunted Hill']
65,"['/date/1999-10-28/?ref_=bo_di_table_65', '/date/1999-10-28/?ref_=bo_di_table_65', '/date/1999-10-28/?ref_=bo_di_table_65']",['The Best Man']
66,"['/date/1999-10-27/?ref_=bo_di_table_66', '/date/1999-10-27/?ref_=bo_di_table_66', '/date/1999-10-27/?ref_=bo_di_table_66']",['The Best Man']
67,"['/date/1999-10-26/?ref_=bo_di_table_67', '/date/1999-10-26/?ref_=bo_di_table_67', '/date/1999-10-26/?ref_=bo_di_table_67']",['Fight Club']
68,"['/date/1999-10-25/?ref_=bo_di_table_68', '/date/1999-10-25/?ref_=bo_di_table_68', '/date/1999-10-25/?ref_=bo_di_table_68']",['The Best Man']
69,"['/date/1999-10-24/?ref_=bo_di_table_69', '/date/1999-10-24/?ref_=bo_di_table_69', '/date/1999-10-24/?ref_=bo_di_table_69']",['Fight Club']
70,"['/date/1999-10-23/?ref_=bo_di_table_70', '/date/1999-10-23/?ref_=bo_di_table_70', '/date/1999-10-23/?ref_=bo_di_table_70']",['Double Jeopardy']
71,"['/date/1999-10-22/?ref_=bo_di_table_71', '/date/1999-10-22/?ref_=bo_di_table_71', '/date/1999-10-22/?ref_=bo_di_table_71']",['Double Jeopardy']
72,"['/date/1999-10-21/?ref_=bo_di_table_72', '/date/1999-10-21/?ref_=bo_di_table_72', '/date/1999-10-21/?ref_=bo_di_table_72']",['Fight Club']
73,"['/date/1999-10-20/?ref_=bo_di_table_73', '/date/1999-10-20/?ref_=bo_di_table_73', '/date/1999-10-20/?ref_=bo_di_table_73']",['Fight Club']
74,"['/date/1999-10-19/?ref_=bo_di_table_74', '/date/1999-10-19/?ref_=bo_di_table_74', '/date/1999-10-19/?ref_=bo_di_table_74']",['Fight Club']
75,"['/date/1999-10-18/?ref_=bo_di_table_75', '/date/1999-10-18/?ref_=bo_di_table_75', '/date/1999-10-18/?ref_=bo_di_table_75']",['Fight Club']
76,"['/date/1999-10-17/?ref_=bo_di_table_76', '/date/1999-10-17/?ref_=bo_di_table_76', '/date/1999-10-17/?ref_=bo_di_table_76']",['Fight Club']
77,"['/date/1999-10-16/?ref_=bo_di_table_77', '/date/1999-10-16/?ref_=bo_di_table_77', '/date/1999-10-16/?ref_=bo_di_table_77']",['Double Jeopardy']
78,"['/date/1999-10-15/?ref_=bo_di_table_78', '/date/1999-10-15/?ref_=bo_di_table_78', '/date/1999-10-15/?ref_=bo_di_table_78']",['Fight Club']
79,"['/date/1999-10-14/?ref_=bo_di_table_79', '/date/1999-10-14/?ref_=bo_di_table_79', '/date/1999-10-14/?ref_=bo_di_table_79']",['Double Jeopardy']
80,"['/date/1999-10-13/?ref_=bo_di_table_80', '/date/1999-10-13/?ref_=bo_di_table_80', '/date/1999-10-13/?ref_=bo_di_table_80']",['Double Jeopardy']
81,"['/date/1999-10-12/?ref_=bo_di_table_81', '/date/1999-10-12/?ref_=bo_di_table_81', '/date/1999-10-12/?ref_=bo_di_table_81']",['Double Jeopardy']
82,"['/date/1999-10-11/?ref_=bo_di_table_82', '/date/1999-10-11/?ref_=bo_di_table_82', '/date/1999-10-11/?ref_=bo_di_table_82']",['Double Jeopardy']
83,"['/date/1999-10-10/?ref_=bo_di_table_83', '/date/1999-10-10/?ref_=bo_di_table_83', '/date/1999-10-10/?ref_=bo_di_table_83']",['Double Jeopardy']
84,"['/date/1999-10-09/?ref_=bo_di_table_84', '/date/1999-10-09/?ref_=bo_di_table_84', '/date/1999-10-09/?ref_=bo_di_table_84']",['Double Jeopardy']
85,"['/date/1999-10-08/?ref_=bo_di_table_85', '/date/1999-10-08/?ref_=bo_di_table_85', '/date/1999-10-08/?ref_=bo_di_table_85']",['Random Hearts']
86,"['/date/1999-10-07/?ref_=bo_di_table_86', '/date/1999-10-07/?ref_=bo_di_table_86', '/date/1999-10-07/?ref_=bo_di_table_86']",['Double Jeopardy']
87,"['/date/1999-10-06/?ref_=bo_di_table_87', '/date/1999-10-06/?ref_=bo_di_table_87', '/date/1999-10-06/?ref_=bo_di_table_87']",['Double Jeopardy']
88,"['/date/1999-10-05/?ref_=bo_di_table_88', '/date/1999-10-05/?ref_=bo_di_table_88', '/date/1999-10-05/?ref_=bo_di_table_88']",['Double Jeopardy']
89,"['/date/1999-10-04/?ref_=bo_di_table_89', '/date/1999-10-04/?ref_=bo_di_table_89', '/date/1999-10-04/?ref_=bo_di_table_89']",['Double Jeopardy']
90,"['/date/1999-10-03/?ref_=bo_di_table_90', '/date/1999-10-03/?ref_=bo_di_table_90', '/date/1999-10-03/?ref_=bo_di_table_90']",['Double Jeopardy']
91,"['/date/1999-10-02/?ref_=bo_di_table_91', '/date/1999-10-02/?ref_=bo_di_table_91', '/date/1999-10-02/?ref_=bo_di_table_91']",['Double Jeopardy']
92,"['/date/1999-10-01/?ref_=bo_di_table_92', '/date/1999-10-01/?ref_=bo_di_table_92', '/date/1999-10-01/?ref_=bo_di_table_92']",['Double Jeopardy']
93,"['/date/1999-09-30/?ref_=bo_di_table_93', '/date/1999-09-30/?ref_=bo_di_table_93', '/date/1999-09-30/?ref_=bo_di_table_93']",['Double Jeopardy']
94,"['/date/1999-09-29/?ref_=bo_di_table_94', '/date/1999-09-29/?ref_=bo_di_table_94', '/date/1999-09-29/?ref_=bo_di_table_94']",['Double Jeopardy']
95,"['/date/1999-09-28/?ref_=bo_di_table_95', '/date/1999-09-28/?ref_=bo_di_table_95', '/date/1999-09-28/?ref_=bo_di_table_95']",['Double Jeopardy']
96,"['/date/1999-09-27/?ref_=bo_di_table_96', '/date/1999-09-27/?ref_=bo_di_table_96', '/date/1999-09-27/?ref_=bo_di_table_96']",['Double Jeopardy']
