,headers
0,[]
1,"['1', '1', 'The Best Man', '$612,430', '+1.2%', '-', '1,346', '$455', '$11,656,070', '7', 'Universal Pictures\n\n', 'false', 'false']"
2,"['2', '2', 'Fight Club', '$574,260', '+1%', '-44.4%', '1,966', '$292', '$24,363,619', '14', 'Twentieth Century Fox\n\n', 'false', 'false']"
3,"['3', '3', 'Double Jeopardy', '$507,375', '+9.3%', '-31.7%', '3,002', '$169', '$92,896,673', '35', 'Paramount Pictures\n\n', 'false', 'false']"
4,"['4', '4', 'Bringing Out the Dead', '$440,033', '+4.4%', '-', '1,936', '$227', '$8,050,073', '7', 'Paramount Pictures\n\n', 'false', 'false']"
5,"['5', '5', 'American Beauty', '$426,234', '+5.9%', '-25.6%', '1,459', '$292', '$50,326,285', '44', 'DreamWorks Distribution\n\n', 'false', 'false']"
6,"['6', '6', 'The Story of Us', '$379,050', '+2.9%', '-40.6%', '2,166', '$175', '$19,287,870', '14', 'Universal Pictures\n\n', 'false', 'false']"
7,"['7', '7', 'The Sixth Sense', '$298,991', '+8.8%', '-28.9%', '2,191', '$136', '$256,634,871', '84', 'Walt Disney Studios Motion Pictures\n\n', 'false', 'false']"
8,"['8', '9', 'Three Kings', '$294,782', '+10.6%', '-42.4%', '2,411', '$122', '$51,207,110', '28', 'Warner Bros.\n\n', 'false', 'false']"
9,"['9', '8', 'Three to Tango', '$267,781', '-0.1%', '-', '2,234', '$119', '$5,545,234', '7', 'Warner Bros.\n\n', 'false', 'false']"
10,"['10', '10', 'Bats', '$223,463', '+0.6%', '-', '2,540', '$87', '$5,689,773', '7', 'Destination Films\n\n', 'false', 'false']"
11,"['11', '11', 'Random Hearts', '$216,468', '+0.5%', '-45.7%', '2,547', '$84', '$28,053,025', '21', 'Sony Pictures Releasing\n\n', 'false', 'false']"
12,"['12', '12', 'Superstar', '$157,688', '+14.2%', '-41.6%', '2,016', '$78', '$21,656,189', '21', 'Paramount Pictures\n\n', 'false', 'false']"
13,"['13', '14', 'The Omega Code', '$107,438', '+22.2%', '-29.3%', '306', '$351', '$4,982,354', '14', 'Providence Entertainment\n\n', 'false', 'false']"
14,"['14', '13', 'Blue Streak', '$101,256', '+6.2%', '-56.2%', '1,541', '$65', '$63,738,387', '42', 'Sony Pictures Releasing\n\n', 'false', 'false']"
15,"['15', '15', 'Crazy in Alabama', '$80,131', '-7.4%', '-', '1,214', '$66', '$1,357,821', '7', 'Sony Pictures Releasing\n\n', 'false', 'false']"
16,"['16', '19', 'Drive Me Crazy', '$41,115', '+28.4%', '-66.6%', '1,062', '$38', '$16,416,191', '28', 'Twentieth Century Fox\n\n', 'false', 'false']"
17,"['17', '18', 'For Love of the Game', '$38,520', '+20%', '-56.5%', '642', '$60', '$34,105,105', '42', 'Universal Pictures\n\n', 'false', 'false']"
18,"['18', '16', 'Stigmata', '$38,062', '+0.6%', '-52.3%', '709', '$53', '$48,913,493', '49', 'Metro-Goldwyn-Mayer (MGM)\n\n', 'false', 'false']"
19,"['19', '17', 'The Limey', '$36,057', '+10.5%', '-', '96', '$375', '$1,126,398', '21', 'Artisan Entertainment\n\n', 'false', 'false']"
20,"['20', '20', ""Boys Don't Cry"", '$32,233', '+8.5%', '-', '39', '$826', '$717,729', '21', 'Fox Searchlight Pictures\n\n', 'false', 'false']"
21,"['21', '21', 'Star Wars: Episode I - The Phantom Menace', '$26,549', '+16.8%', '-30%', '386', '$68', '$427,385,273', '163', 'Twentieth Century Fox\n\n', 'false', 'false']"
22,"['22', '22', 'American Pie', '$12,595', '+11.2%', '+2%', '252', '$49', '$101,782,770', '112', 'Universal Pictures\n\n', 'false', 'false']"
23,"['23', '24', 'Bowfinger', '$9,215', '-2.1%', '-44.8%', '235', '$39', '$65,662,000', '77', 'Universal Pictures\n\n', 'false', 'false']"
24,"['24', '23', 'The Haunting', '$7,941', '-29.3%', '-58.1%', '248', '$32', '$91,232,847', '98', 'DreamWorks Distribution\n\n', 'false', 'false']"
25,[]
26,"['1', '1', 'Abominable', '$5,961,755', '-33.7%', '-', '4,242', '$1,405', '$20,612,100', '3', 'Universal Pictures\n\n', 'false', 'false']"
27,"['2', '2', 'Downton Abbey', '$4,104,150', '-29.8%', '-46.3%', '3,390', '$1,210', '$58,349,885', '10', 'Focus Features\n\n', 'false', 'false']"
28,"['3', '3', 'Hustlers', '$2,805,520', '-42.7%', '-35.7%', '3,508', '$799', '$80,553,967', '17', 'STX Entertainment\n\n', 'false', 'false']"
29,"['4', '4', 'It Chapter Two', '$2,732,808', '-41.6%', '-38.8%', '3,611', '$756', '$193,766,844', '24', 'Warner Bros.\n\n', 'false', 'false']"
30,"['5', '5', 'Ad Astra', '$2,536,795', '-43.7%', '-43.4%', '3,460', '$733', '$35,397,514', '10', 'Twentieth Century Fox\n\n', 'false', 'false']"
31,"['6', '6', 'Rambo: Last Blood', '$2,459,971', '-34.9%', '-48.1%', '3,618', '$679', '$33,173,621', '10', 'Lionsgate\n\n', 'false', 'false']"
32,"['7', '7', 'Judy', '$802,164', '-33.9%', '-', '461', '$1,740', '$2,916,548', '3', 'Roadside Attractions\n\n', 'false', 'false']"
33,"['8', '9', 'Good Boys', '$538,830', '-41.5%', '-20.8%', '1,503', '$358', '$80,437,465', '45', 'Universal Pictures\n\n', 'false', 'false']"
34,"['9', '10', 'The Lion King', '$496,555', '-36.1%', '-39%', '1,691', '$293', '$540,079,599', '73', 'Walt Disney Studios Motion Pictures\n\n', 'false', 'false']"
35,"['10', '11', 'Angel Has Fallen', '$379,692', '-44.7%', '-37.6%', '1,652', '$229', '$67,162,153', '38', 'Lionsgate\n\n', 'false', 'false']"
36,"['11', '12', 'Fast & Furious Presents: Hobbs & Shaw', '$297,975', '-46.8%', '-24.9%', '1,100', '$270', '$172,234,475', '59', 'Universal Pictures\n\n', 'false', 'false']"
37,"['12', '14', 'Overcomer', '$267,598', '-30.3%', '-43%', '1,206', '$221', '$33,141,096', '38', 'Affirm Films\n\n', 'false', 'false']"
38,"['13', '16', 'Dora and the Lost City of Gold', '$239,238', '-28.4%', '-45.3%', '761', '$314', '$59,437,895', '52', 'Paramount Pictures\n\n', 'false', 'false']"
39,"['14', '13', 'The Peanut Butter Falcon', '$237,929', '-40.3%', '-15.9%', '935', '$254', '$18,110,237', '52', 'Roadside Attractions\n\n', 'false', 'false']"
40,"['15', '-', 'The Secret World of Arrietty2019 Re-release', '$226,728', '-', '-', '741', '$305', '$226,728', '1', 'Fathom Events\n\n', 'true', 'false']"
41,"['16', '15', 'Scary Stories to Tell in the Dark', '$201,511', '-47.3%', '-13%', '756', '$266', '$66,828,285', '52', 'Lionsgate\n\n', 'false', 'false']"
42,"['17', '17', 'Brittany Runs a Marathon', '$183,769', '-34.3%', '-32.2%', '917', '$200', '$6,350,065', '38', 'Amazon Studios\n\n', 'false', 'false']"
43,"['18', '18', 'Once Upon a Time... in Hollywood', '$138,885', '-47%', '-22.2%', '415', '$334', '$139,045,239', '66', 'Sony Pictures Releasing\n\n', 'false', 'false']"
44,"['19', '20', 'The Angry Birds Movie 2', '$115,005', '-34.7%', '-55.3%', '511', '$225', '$41,091,831', '48', 'Sony Pictures Releasing\n\n', 'false', 'false']"
