,Unnamed: 0,name,Daily,%YD,%LW,Theaters,Avg,To Date,Days,Distributor
0,0,,,,,,,,,
1,1, 'The Best Man',"$612,430 ",1.20%,-,"1,346",$455 ,"$11,656,070 ",7,Universal Pictures\n\n
2,2, 'Fight Club',"$574,260 ",1%,-44.40%,"1,966",$292 ,"$24,363,619 ",14,Twentieth Century Fox\n\n
3,3, 'Double Jeopardy',"$507,375 ",9.30%,-31.70%,"3,002",$169 ,"$92,896,673 ",35,Paramount Pictures\n\n
4,4, 'Bringing Out the Dead',"$440,033 ",4.40%,-,"1,936",$227 ,"$8,050,073 ",7,Paramount Pictures\n\n
5,5, 'American Beauty',"$426,234 ",5.90%,-25.60%,"1,459",$292 ,"$50,326,285 ",44,DreamWorks Distribution\n\n
6,6, 'The Story of Us',"$379,050 ",2.90%,-40.60%,"2,166",$175 ,"$19,287,870 ",14,Universal Pictures\n\n
7,7, 'The Sixth Sense',"$298,991 ",8.80%,-28.90%,"2,191",$136 ,"$256,634,871 ",84,Walt Disney Studios Motion Pictures\n\n
8,8, 'Three Kings',"$294,782 ",10.60%,-42.40%,"2,411",$122 ,"$51,207,110 ",28,Warner Bros.\n\n
9,9, 'Three to Tango',"$267,781 ",-0.10%,-,"2,234",$119 ,"$5,545,234 ",7,Warner Bros.\n\n
10,10, 'Bats',"$223,463 ",0.60%,-,"2,540",$87 ,"$5,689,773 ",7,Destination Films\n\n
11,11, 'Random Hearts',"$216,468 ",0.50%,-45.70%,"2,547",$84 ,"$28,053,025 ",21,Sony Pictures Releasing\n\n
12,12, 'Superstar',"$157,688 ",14.20%,-41.60%,"2,016",$78 ,"$21,656,189 ",21,Paramount Pictures\n\n
13,13, 'The Omega Code',"$107,438 ",22.20%,-29.30%,306,$351 ,"$4,982,354 ",14,Providence Entertainment\n\n
14,14, 'Blue Streak',"$101,256 ",6.20%,-56.20%,"1,541",$65 ,"$63,738,387 ",42,Sony Pictures Releasing\n\n
15,15, 'Crazy in Alabama',"$80,131 ",-7.40%,-,"1,214",$66 ,"$1,357,821 ",7,Sony Pictures Releasing\n\n
16,16, 'Drive Me Crazy',"$41,115 ",28.40%,-66.60%,"1,062",$38 ,"$16,416,191 ",28,Twentieth Century Fox\n\n
17,17, 'For Love of the Game',"$38,520 ",20%,-56.50%,642,$60 ,"$34,105,105 ",42,Universal Pictures\n\n
18,18, 'Stigmata',"$38,062 ",0.60%,-52.30%,709,$53 ,"$48,913,493 ",49,Metro-Goldwyn-Mayer (MGM)\n\n
19,19, 'The Limey',"$36,057 ",10.50%,-,96,$375 ,"$1,126,398 ",21,Artisan Entertainment\n\n
20,20," ""Boys Don't Cry""",", ",", ",", ",", ",", ",", ",", ",", "
